movie,year,rating,genre,runtime_min,imdb,metascore,votes
Andor,2022.0,PG-13,"['Action', ' Adventure', ' Drama']",40.0,8.1,,28638.0
She-Hulk: Attorney at Law,2022.0,PG-13,"['Action', ' Adventure', ' Comedy']",35.0,5.1,,133964.0
The Super Mario Bros. Movie,2023.0,,"['Animation', ' Adventure', ' Comedy']",,,,
Black Panther: Wakanda Forever,2022.0,,"['Action', ' Adventure', ' Drama']",161.0,,,
The Munsters,2022.0,PG,"['Comedy', ' Family', ' Fantasy']",109.0,4.6,57.0,6903.0
American Horror Story,2011.0,NC-17,"['Drama', ' Horror', ' Sci-Fi']",60.0,8.0,,314833.0
Rick and Morty,2013.0,NC-17,"['Animation', ' Adventure', ' Comedy']",23.0,9.2,,508387.0
The Handmaid's Tale,2017.0,NC-17,"['Drama', ' Sci-Fi', ' Thriller']",60.0,8.4,,229535.0
Stranger Things,2016.0,PG-13,"['Drama', ' Fantasy', ' Horror']",51.0,8.7,,1159430.0
Vesper,2022.0,,"['Adventure', ' Drama', ' Sci-Fi']",114.0,6.1,70.0,8061.0
Thor: Love and Thunder,2022.0,PG-13,"['Action', ' Adventure', ' Comedy']",118.0,6.4,57.0,284693.0
Cyberpunk: Edgerunners,2022.0,NC-17,"['Animation', ' Action', ' Adventure']",24.0,8.5,,32304.0
Black Adam,2022.0,PG-13,"['Action', ' Fantasy', ' Sci-Fi']",124.0,,,
Avatar: The Way of Water,2022.0,,"['Action', ' Adventure', ' Fantasy']",,,,
The Boys,2019.0,NC-17,"['Action', ' Comedy', ' Crime']",60.0,8.7,,480777.0
The Sandman,2022.0,NC-17,"['Drama', ' Fantasy', ' Horror']",45.0,7.7,,126967.0
DC League of Super-Pets,2022.0,PG,"['Animation', ' Action', ' Adventure']",105.0,7.4,56.0,55501.0
Avatar,2009.0,PG-13,"['Action', ' Adventure', ' Fantasy']",162.0,7.8,83.0,1236202.0
Everything Everywhere All at Once,2022.0,R,"['Action', ' Adventure', ' Comedy']",139.0,8.1,81.0,220019.0
Nope,2022.0,R,"['Horror', ' Mystery', ' Sci-Fi']",130.0,6.9,77.0,137608.0
Quantum Leap,2022.0,PG,"['Drama', ' Mystery', ' Sci-Fi']",42.0,5.3,,3445.0
See,2019.0,NC-17,"['Action', ' Drama', ' Sci-Fi']",60.0,7.6,,80554.0
Significant Other,2022.0,R,"['Drama', ' Mystery', ' Sci-Fi']",84.0,5.6,57.0,2378.0
Severance,2022.0,NC-17,"['Drama', ' Mystery', ' Sci-Fi']",55.0,8.7,,106301.0
The Last of Us,2023.0,,"['Action', ' Adventure', ' Drama']",,,,
Doctor Who,2005.0,PG,"['Adventure', ' Drama', ' Sci-Fi']",45.0,8.6,,223106.0
Prey,2022.0,R,"['Action', ' Adventure', ' Drama']",99.0,7.2,71.0,171510.0
Westworld,2016.0,NC-17,"['Drama', ' Mystery', ' Sci-Fi']",62.0,8.5,,500285.0
Black Mirror,2011.0,NC-17,"['Drama', ' Mystery', ' Sci-Fi']",60.0,8.8,,538546.0
La Brea,2021.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",,5.7,,10623.0
The Mandalorian,2019.0,PG-13,"['Action', ' Adventure', ' Fantasy']",40.0,8.7,,468044.0
Jurassic World Dominion,2022.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147.0,5.7,38.0,141349.0
Resident Alien,2021.0,PG-13,"['Comedy', ' Drama', ' Mystery']",44.0,8.1,,39780.0
Daredevil,2015.0,NC-17,"['Action', ' Crime', ' Drama']",54.0,8.6,,436393.0
Deadpool 3,2024.0,,"['Action', ' Comedy', ' Sci-Fi']",,,,
The Orville,2017.0,PG-13,"['Adventure', ' Comedy', ' Drama']",44.0,8.0,,86150.0
The X-Files,1993.0,PG-13,"['Crime', ' Drama', ' Mystery']",45.0,8.6,,224303.0
Super Mario Bros.,1993.0,PG,"['Adventure', ' Comedy', ' Family']",104.0,4.1,35.0,54875.0
Rogue One: A Star Wars Story,2016.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133.0,7.8,65.0,628495.0
Lost,2004.0,PG-13,"['Adventure', ' Drama', ' Fantasy']",44.0,8.3,,549946.0
Star Trek: Lower Decks,2020.0,PG-13,"['Animation', ' Action', ' Adventure']",25.0,7.4,,17522.0
Dune,2021.0,PG-13,"['Action', ' Adventure', ' Drama']",155.0,8.0,74.0,617750.0
Spider-Man: No Way Home,2021.0,PG-13,"['Action', ' Adventure', ' Fantasy']",148.0,8.3,71.0,734464.0
Manifest,2018.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",43.0,7.1,,60003.0
The Umbrella Academy,2019.0,PG-13,"['Action', ' Adventure', ' Comedy']",60.0,7.9,,245061.0
Obi-Wan Kenobi,2022.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",,7.1,,181622.0
Moonfall,2022.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130.0,5.1,41.0,73749.0
Quantum Leap,1989.0,PG,"['Action', ' Adventure', ' Drama']",60.0,8.2,,32369.0
Dark,2017.0,NC-17,"['Crime', ' Drama', ' Mystery']",60.0,8.7,,374631.0
Morbius,2022.0,PG-13,"['Action', ' Adventure', ' Horror']",104.0,5.2,35.0,113107.0
Doctor Strange in the Multiverse of Madness,2022.0,PG-13,"['Action', ' Adventure', ' Fantasy']",126.0,7.0,60.0,392833.0
Samaritan,2022.0,PG-13,"['Action', ' Drama', ' Fantasy']",102.0,5.7,45.0,39907.0
Interstellar,2014.0,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169.0,8.6,74.0,1794408.0
The Imperfects,2022.0,NC-17,"['Action', ' Adventure', ' Drama']",45.0,6.4,,4457.0
The Flash,2014.0,PG,"['Action', ' Adventure', ' Drama']",43.0,7.6,,344731.0
For All Mankind,2019.0,NC-17,"['Drama', ' Sci-Fi']",60.0,8.0,,41909.0
Arcane,2021.0,PG-13,"['Animation', ' Action', ' Adventure']",41.0,9.0,,199522.0
Blade Runner 2049,2017.0,R,"['Action', ' Drama', ' Mystery']",164.0,8.0,81.0,563030.0
Minions: The Rise of Gru,2022.0,PG,"['Animation', ' Adventure', ' Comedy']",87.0,6.6,56.0,57478.0
My Hero Academia,2016.0,PG-13,"['Animation', ' Action', ' Adventure']",24.0,8.4,,60751.0
Black Panther,2018.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134.0,7.3,88.0,751386.0
Ghostbusters: Afterlife,2021.0,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124.0,7.1,45.0,177534.0
Star Trek: The Next Generation,1987.0,PG,"['Action', ' Adventure', ' Sci-Fi']",44.0,8.7,,120052.0
Smallville,2001.0,PG,"['Action', ' Adventure', ' Drama']",60.0,7.5,,127685.0
War of the Worlds,2019.0,NC-17,"['Drama', ' Mystery', ' Sci-Fi']",49.0,6.4,,13744.0
Avengers: Endgame,2019.0,PG-13,"['Action', ' Adventure', ' Drama']",181.0,8.4,78.0,1108164.0
Inception,2010.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148.0,8.8,74.0,2324128.0
Deadpool 2,2018.0,R,"['Action', ' Adventure', ' Comedy']",119.0,7.7,66.0,574879.0
"Love, Death & Robots",2019.0,NC-17,"['Animation', ' Short', ' Action']",15.0,8.4,,166438.0
The Expanse,2015.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",60.0,8.5,,152296.0
Tenet,2020.0,PG-13,"['Action', ' Sci-Fi', ' Thriller']",150.0,7.3,69.0,493899.0
Event Horizon,1997.0,R,"['Horror', ' Sci-Fi', ' Thriller']",96.0,6.6,35.0,180623.0
Ghostbusters,1984.0,PG,"['Action', ' Comedy', ' Fantasy']",105.0,7.8,71.0,412799.0
Crimes of the Future,2022.0,R,"['Drama', ' Horror', ' Sci-Fi']",107.0,5.9,67.0,23590.0
Deadpool,2016.0,R,"['Action', ' Adventure', ' Comedy']",108.0,8.0,65.0,1025749.0
Fear the Walking Dead,2015.0,NC-17,"['Drama', ' Horror', ' Sci-Fi']",44.0,6.8,,129474.0
Star Trek: Strange New Worlds,2022.0,PG,"['Action', ' Adventure', ' Sci-Fi']",52.0,8.2,,28056.0
The 100,2014.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",43.0,7.6,,249708.0
Ant-Man and the Wasp: Quantumania,2023.0,,"['Action', ' Adventure', ' Comedy']",,,,
Jexi,2019.0,R,"['Comedy', ' Romance', ' Sci-Fi']",84.0,6.0,39.0,27021.0
Eternals,2021.0,PG-13,"['Action', ' Adventure', ' Fantasy']",156.0,6.3,52.0,334875.0
Alien,1979.0,R,"['Horror', ' Sci-Fi']",117.0,8.5,89.0,874374.0
From,2022.0,NC-17,"['Drama', ' Horror', ' Mystery']",52.0,7.6,,19647.0
The Peripheral,2022.0,,"['Drama', ' Sci-Fi', ' Thriller']",,,,
Titans,2018.0,NC-17,"['Action', ' Adventure', ' Crime']",45.0,7.6,,98665.0
Elysium,2013.0,R,"['Action', ' Drama', ' Sci-Fi']",109.0,6.6,61.0,447479.0
Stargate SG-1,1997.0,PG-13,"['Action', ' Adventure', ' Drama']",44.0,8.4,,93412.0
Stargirl,2020.0,PG,"['Action', ' Adventure', ' Crime']",566.0,7.2,,17823.0
WandaVision,2021.0,PG,"['Action', ' Comedy', ' Drama']",350.0,7.9,,317724.0
Fringe,2008.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",46.0,8.4,,241011.0
Harley Quinn,2019.0,NC-17,"['Animation', ' Action', ' Adventure']",23.0,8.5,,29338.0
The Hunger Games,2012.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142.0,7.2,68.0,912987.0
Land of the Lost,2009.0,PG-13,"['Action', ' Adventure', ' Comedy']",102.0,5.3,32.0,71305.0
Back to the Future,1985.0,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116.0,8.5,87.0,1190526.0
Star Wars: Episode VII - The Force Awakens,2015.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138.0,7.8,80.0,925368.0
Don't Look Up,2021.0,R,"['Comedy', ' Drama', ' Sci-Fi']",138.0,7.2,49.0,528109.0
Star Trek: Discovery,2017.0,PG-13,"['Action', ' Adventure', ' Drama']",60.0,7.0,,122455.0
Logan,2017.0,R,"['Action', ' Drama', ' Sci-Fi']",137.0,8.1,77.0,754370.0
Free Guy,2021.0,PG-13,"['Action', ' Adventure', ' Comedy']",115.0,7.1,62.0,362661.0
Halo,2022.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",60.0,7.1,,58134.0
Arrow,2012.0,PG-13,"['Action', ' Adventure', ' Crime']",42.0,7.5,,430475.0
Ready Player One,2018.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140.0,7.4,64.0,432627.0
Mr. Mercedes,2017.0,NC-17,"['Crime', ' Drama', ' Mystery']",60.0,7.8,,22017.0
Lightyear,2022.0,PG,"['Animation', ' Action', ' Adventure']",100.0,6.0,60.0,97296.0
